Date,VCI,TCI ,VHI,VHI (%),Severity Class
2001-01-01,0.213855422,0.81674366,0.515299541,52,No Drought
2001-01-17,0.268072289,0.803179161,0.535625725,54,No Drought
2001-02-02,0.328313253,0.808860914,0.568587084,57,No Drought
2001-02-18,0.478915663,0.671156162,0.575035912,58,No Drought
2001-03-06,0.521084337,0.631803997,0.576444167,58,No Drought
2001-03-22,0.40060241,0.48275958,0.441680995,44,No Drought
2001-04-07,0.189759036,0.373469032,0.281614034,28,Moderate Drought
2001-04-23,0.054216867,0.349737755,0.201977311,20,Moderate Drought
2001-05-09,0.009036145,0.12167554,0.065355842,7,Extreme Drought
2001-05-25,0.012048193,0.311132557,0.161590375,16,Severe Drought
2001-06-10,0.078313253,0.426458866,0.25238606,25,Moderate Drought
2001-06-26,0.31626506,0.351429685,0.333847372,33,Mild Drought
2001-07-12,0.358433735,0.31751547,0.337974603,34,Mild Drought
2001-07-28,0.463855422,0.404757048,0.434306235,43,No Drought
2001-08-13,0.584337349,0.406007334,0.495172342,50,No Drought
2001-08-29,0.56626506,0.460788803,0.513526932,51,No Drought
2001-09-14,0.527108434,0.422109677,0.474609056,47,No Drought
2001-09-30,0.454819277,0.300548606,0.377683942,38,Mild Drought
2001-10-16,0.334337349,0.395287449,0.364812399,36,Mild Drought
2001-11-01,0.231927711,0.378951128,0.305439419,31,Mild Drought
2001-11-17,0.171686747,0.541968409,0.356827578,36,Mild Drought
2001-12-03,0.141566265,0.605259859,0.373413062,37,Mild Drought
2001-12-19,0.15060241,0.753540349,0.45207138,45,No Drought
2002-01-01,0.210843373,0.825051764,0.517947569,52,No Drought
2002-01-17,0.28313253,0.865556178,0.574344354,57,No Drought
2002-02-02,0.409638554,0.874587498,0.642113026,64,No Drought
2002-02-18,0.469879518,0.766574004,0.618226761,62,No Drought
2002-03-06,0.587349398,0.646414261,0.616881829,62,No Drought
2002-03-22,0.460843373,0.465165805,0.463004589,46,No Drought
2002-04-07,0.147590361,0.376003413,0.261796887,26,Moderate Drought
2002-04-23,0.078313253,0.173160388,0.12573682,13,Severe Drought
2002-05-09,0.027108434,0.200571315,0.113839874,11,Severe Drought
2002-05-25,0.003012048,0,0.001506024,0,Extreme Drought
2002-06-10,0.036144578,0.357888426,0.197016502,20,Severe Drought
2002-06-26,0.108433735,0.292088972,0.200261354,20,Moderate Drought
